Year,Author(s),Novel,Publisher,Nika,Tom,Hugo,Nebula,WFA,Mythopoeic,Kitschies
2026,Robert Jackson Bennett,A Drop of Corruption,,,,Nominee,,,,
2026,Nnedi Okorafor,Death of the Author,,,,Nominee,Nominee,,,
2026,Adrian Tchaikovsky,Shroud,,,,Nominee,,,,
2026,Alix E. Harrow,The Everlasting,,,,Nominee,,,,
2026,Emily Tesh,The Incandescent,,,,Nominee,Nominee,,,
2026,Antonia Hodgson,The Raven Scholar,,,,Nominee,,,,
2026,Daryl Gregory,When We Were Real,,,,,Nominee,,,
2026,Stephen Graham Jones,The Buffalo Hunter Hunter,,,,,Nominee,,,
2026,R. F. Kuang,Katabasis,,,,,Nominee,,,
2026,Natalia Theodoridou,Sour Cherry,,,,,Nominee,,,
2026,John Wiswell,Wearing the Lion,,,,,Nominee,,,
2025,Robert Jackson Bennett,The Tainted Cup,Del Rey,,,Winner,,,,
2025,Adrian Tchaikovsky,Alien Clay,Tordotcom,,,Nominee,,,,
2025,Kaliane Bradley,The Ministry of Time,Avid Reader Press,,,Nominee,,,,
2025,Adrian Tchaikovsky,Service Model,Tordotcom,,,Nominee,,,,
2025,John Wiswell,Someone You Can Build a Nest In,DAW,,,Nominee,Winner,,,
2025,T. Kingfisher,A Sorceress Comes to Call,Tor Books,,,Nominee,Nominee,,,
2025,Kerstin Hall,Asunder,Tordotcom,,,,Nominee,,,
2025,Kelly Link,The Book of Love,Random House,,,,Nominee,,,
2025,Vajra Chandrasekera,Rakesfall,Tordotcom,,,,Nominee,,,
2025,Yaroslav Barsukov,Sleeping Worlds Have No Memory,Caezik SF & Fantasy,,,,Nominee,,,
