Year,Author(s),Hugo,Series,Publisher or publication,Nika,Tom
2026,Heather Fawcett,Nominee,Emily Wilde,Del Rey,,
2026,Seanan McGuire,Nominee,October Daye,DAW,,
2026,John Scalzi,Nominee,Old Man's War,Tor Books,,
2026,Katherine Addison,Nominee,The Chronicles of Osreth,Tor Books,,
2026,Max Gladstone,Nominee,The Craft Wars,Tordotcom,,
2026,Elizabeth Bear,Nominee,White Space,Saga Press,,
2025,Rebecca Roanhorse,Winner,Between Earth and Sky,Saga Press,,
2025,Tasha Suri,Nominee,The Burning Kingdoms,Orbit Books,,
2025,Seanan McGuire,Nominee,InCryptid,DAW,,
2025,Jeff VanderMeer,Nominee,Southern Reach,MCD,,
2025,Brandon Sanderson,Nominee,The Stormlight Archive,Tor Books,,
2025,Adrian Tchaikovsky,Nominee,The Tyrant Philosophers,Head of Zeus,,
