Year,Author(s),Hugo,Series,Publisher or publication,Nika,Tom,Tom Date Read,Tom Rating
2026,Heather Fawcett,Nominee,Emily Wilde,Del Rey,,,,
2026,Seanan McGuire,Nominee,October Daye,DAW,,,,
2026,John Scalzi,Nominee,Old Man's War,Tor Books,,Read,,
2026,Katherine Addison,Nominee,The Chronicles of Osreth,Tor Books,,,,
2026,Max Gladstone,Nominee,The Craft Wars,Tordotcom,,,,
2026,Elizabeth Bear,Nominee,White Space,Saga Press,,,,
2025,Rebecca Roanhorse,Winner,Between Earth and Sky,Saga Press,,,,
2025,Tasha Suri,Nominee,The Burning Kingdoms,Orbit Books,,,,
2025,Seanan McGuire,Nominee,InCryptid,DAW,,,,
2025,Jeff VanderMeer,Nominee,Southern Reach,MCD,,,,
2025,Brandon Sanderson,Nominee,The Stormlight Archive,Tor Books,,,,
2025,Adrian Tchaikovsky,Nominee,The Tyrant Philosophers,Head of Zeus,,,,
2024.0,Ann Leckie,Winner,Imperial Radch,Orbit Books,In progress,,,
2024.0,Adrian Tchaikovsky,,The Final Architecture,Tordotcom / Orbit Books,,,,
2024.0,Freya Marske,,The Last Binding,Tordotcom / Tor Books,,,,
2024.0,Charles Stross,,The Laundry Files,Tordotcom / Orbit Books,,,,
2024.0,Seanan McGuire,,October Daye,DAW Books,,,,
2024.0,Aliette de Bodard,,The Universe of Xuya,Victor Gollancz Ltd / JABberwocky Literary Agency / Subterranean Press / Uncanny Magazine / et al.),,,,
2023.0,Adrian Tchaikovsky,Winner,Children of Time series,Pan Macmillan/Orbit Books,,,,
2023.0,Robert Jackson Bennett,,The Founders Trilogy,Del Rey Books,,,,
2023.0,Tamsyn Muir,,The Locked Tomb,Tordotcom,,,,
2023.0,Seanan McGuire,,October Daye,DAW Books,,,,
2023.0,Ben Aaronovitch,,Rivers of London,Orion Publishing Group,,,,
2023.0,Naomi Novik,,The Scholomance,Del Rey Books,,,,
2022.0,Seanan McGuire,Winner,Wayward Children,Tordotcom Publishing,,,,
2022.0,Fonda Lee,,The Green Bone Saga,Orbit Books,,,,
2022.0,C. L. Polk,,The Kingston Cycle,Tordotcom Publishing,,,,
2022.0,Charles Stross,,The Merchant Princes,Macmillan Publishers,,,,
2022.0,Ada Palmer,,Terra Ignota,Tor Books,,,,
2022.0,T. Kingfisher,,The World of the White Rat,Argyll Productions,,,,
2021.0,Martha Wells,Winner,The Murderbot Diaries,Tor.com Publishing,In the queue,,,
2021.0,S. A. Chakraborty,,The Daevabad Trilogy,Harper Voyager,,,,
2021.0,John Scalzi,,The Interdependency,Tor Books,,,,
2021.0,Mary Robinette Kowal,,The Lady Astronaut Universe,Tor Books / Audible / The Magazine of Fantasy & Science Fiction,,,,
2021.0,Seanan McGuire,,The October Daye series,DAW Books,,,,
2021.0,R. F. Kuang,,The Poppy War,Harper Voyager,,,,
2020.0,James S. A. Corey (pen name of Daniel Abraham and Ty Franck),Winner,The Expanse,Orbit Books,,,,
2020.0,Seanan McGuire,,InCryptid,DAW Books,,,,
2020.0,Ian McDonald,,Luna,Tor Books / Victor Gollancz Ltd,,,,
2020.0,Emma Newman,,Planetfall series,Ace Books / Victor Gollancz Ltd,,,,
2020.0,Katherine Arden,,Winternight Trilogy,Del Rey Books,,,,
2020.0,Tade Thompson,,The Wormwood Trilogy,Orbit Books,,,,
2019.0,Becky Chambers,Winner,Wayfarers,Hodder & Stoughton / Harper Voyager,,,,
2019.0,Malka Older,,The Centenal Cycle,Tor.com Publishing,,,,
2019.0,Charles Stross,,The Laundry Files,Tor.com Publishing / Orbit Books,,,,
2019.0,Yoon Ha Lee,,Machineries of Empire,Solaris Books,,,,
2019.0,Seanan McGuire,,The October Daye series,DAW Books,,,,
2019.0,Aliette de Bodard,,The Universe of Xuya,Subterranean Press,,,,
2018.0,Lois McMaster Bujold,Winner,World of the Five Gods,Harper Voyager / Spectrum Literary Agency,,,,
2018.0,Martha Wells,,The Books of the Raksura,Night Shade Books,,,,
2018.0,Robert Jackson Bennett,,The Divine Cities,Broadway Books,,,,
2018.0,Seanan McGuire,,InCryptid,DAW Books,,,,
2018.0,Marie Brennan,,The Memoirs of Lady Trent,Tor Books / Titan Books,,,,
2018.0,Brandon Sanderson,,The Stormlight Archive,Tor Books / Victor Gollancz Ltd,In the queue,,,
2017.0,Lois McMaster Bujold,Winner,The Vorkosigan Saga,Baen Books,,,,
2017.0,Max Gladstone,,The Craft Sequence,Tor Books,,,,
2017.0,James S. A. Corey (pen name of Daniel Abraham and Ty Franck),,The Expanse,Orbit Books,,,,
2017.0,Seanan McGuire,,The October Daye series,DAW Books / Corsair Books,,,,
2017.0,Ben Aaronovitch,,The Peter Grant / Rivers of London series,Victor Gollancz Ltd / Del Rey Books / DAW Books / Subterranean Press,,,,
2017.0,Naomi Novik,,The Temeraire series,Del Rey Books / Harper Voyager UK,,,,
1945.0,H. P. Lovecraft/August Derleth et al.,Winner,The Cthulhu Mythos,,,,,
1945.0,Edmond Hamilton (as Brett Sterling),,Captain Future,,,,,
1945.0,Kenneth Robeson/Lester Dent,,Doc Savage,,,,,
1945.0,Seabury Quinn,,Jules de Grandin,,,,,
1945.0,Edgar Rice Burroughs,,Pellucidar,,,,,
1945.0,Walter B. Gibson (as Maxwell Grant),,The Shadow,,,,,
